normalisation_cts,signal_cts,normalised_cts,t (taus),T (temp),f_B (detuning),mw_pulse_duration,N (normalisation during p0 and p1),R (repetitions),P_cl_0,P_cl_1,phi (phase offset between pulses),P_cl
36911,26221,0.710384607,0,27.19636536,1842831.582,2.10E-07,49597.5,5000000,0.007188412,0.005553942,38,0.00704666
36742,26142,0.711502016,1.96E-08,27.19438171,1842831.582,2.10E-07,49597.5,5000000,0.007188412,0.005553942,38,0.007057744
46404,32948,0.710025132,3.92E-08,27.19636536,1842831.582,2.10E-07,49597.5,5000000,0.007188412,0.005553942,38,0.007043094
37602,25596,0.680708647,5.88E-08,27.1990509,1842831.582,2.10E-07,49597.5,5000000,0.007188412,0.005553942,38,0.006752289
36903,24818,0.672520041,7.83E-08,27.20152283,1842831.582,2.10E-07,49597.5,5000000,0.007188412,0.005553942,38,0.006671063
36745,24200,0.658593178,9.79E-08,27.20127869,1842831.582,2.10E-07,49597.5,5000000,0.007188412,0.005553942,38,0.006532915
36970,23502,0.635704815,1.18E-07,27.20381165,1842831.582,2.10E-07,49597.5,5000000,0.007188412,0.005553942,38,0.006305874
36619,22852,0.624047816,1.37E-07,27.20027161,1842831.582,2.10E-07,49597.5,5000000,0.007188412,0.005553942,38,0.006190242
37268,22065,0.592063069,1.76E-07,27.20201111,1842831.582,2.10E-07,49597.5,5000000,0.007188412,0.005553942,38,0.00587297
47042,28322,0.602057874,1.96E-07,27.20304871,1842831.582,2.10E-07,49597.5,5000000,0.007188412,0.005553942,38,0.005972113
38522,22472,0.583355129,2.15E-07,27.20439148,1842831.582,2.10E-07,49597.5,5000000,0.007188412,0.005553942,38,0.005786591
36910,21329,0.577865243,2.35E-07,27.20524597,1842831.582,2.10E-07,49597.5,5000000,0.007188412,0.005553942,38,0.005732134
37837,21943,0.579935133,2.94E-07,27.20350647,1842831.582,2.10E-07,49597.5,5000000,0.007188412,0.005553942,38,0.005752667
46861,28089,0.59941113,3.13E-07,27.20628357,1842831.582,2.10E-07,49597.5,5000000,0.007188412,0.005553942,38,0.005945859
36537,23317,0.638175189,3.92E-07,27.20497131,1842831.582,2.10E-07,49597.5,5000000,0.007188412,0.005553942,38,0.006330379
38109,24470,0.642105699,4.11E-07,27.2068634,1842831.582,2.10E-07,49597.5,5000000,0.007188412,0.005553942,38,0.006369367
36434,23801,0.653263628,4.31E-07,27.20417786,1842831.582,2.10E-07,49597.5,5000000,0.007188412,0.005553942,38,0.006480049
37203,25853,0.694917262,4.90E-07,27.2035675,1842831.582,2.10E-07,49597.5,5000000,0.007188412,0.005553942,38,0.006893232
37390,25688,0.687028825,5.88E-07,27.20411682,1842831.582,2.10E-07,49597.5,5000000,0.007188412,0.005553942,38,0.006814982
36375,23255,0.639312863,6.85E-07,27.20246887,1842831.582,2.10E-07,49597.5,5000000,0.007188412,0.005553942,38,0.006341664
37244,21642,0.581087053,7.83E-07,27.20280457,1842831.582,2.10E-07,49597.5,5000000,0.007188412,0.005553942,38,0.005764093
38362,22436,0.584849715,8.03E-07,27.20332336,1842831.582,2.10E-07,49597.5,5000000,0.007188412,0.005553942,38,0.005801417
37338,22031,0.590042472,8.81E-07,27.20201111,1842831.582,2.10E-07,49597.5,5000000,0.007188412,0.005553942,38,0.005852926
44804,30160,0.673154354,9.79E-07,27.20048523,1842831.582,2.10E-07,49597.5,5000000,0.007188412,0.005553942,38,0.006677355
37154,25936,0.698067665,1.08E-06,27.20246887,1842831.582,2.10E-07,49597.5,5000000,0.007188412,0.005553942,38,0.006924482
36488,24980,0.684608817,1.10E-06,27.20201111,1842831.582,2.10E-07,49597.5,5000000,0.007188412,0.005553942,38,0.006790977
46312,32117,0.693492115,1.18E-06,27.20219421,1842831.582,2.10E-07,49597.5,5000000,0.007188412,0.005553942,38,0.006879095
37105,23282,0.627462804,1.49E-06,27.20179749,1842831.582,2.10E-07,49597.5,5000000,0.007188412,0.005553942,38,0.006224117
36486,22772,0.624129951,2.00E-06,27.20085144,1842831.582,2.10E-07,49597.5,5000000,0.007188412,0.005553942,38,0.006191057
46428,31190,0.671793044,2.72E-06,27.19987488,1842831.582,2.10E-07,49597.5,5000000,0.007188412,0.005553942,38,0.006663851
36893,23395,0.634131312,3.68E-06,27.19804382,1842831.582,2.10E-07,49597.5,5000000,0.007188412,0.005553942,38,0.006290266
37771,24276,0.642715454,4.99E-06,27.201828,1842831.582,2.10E-07,49597.5,5000000,0.007188412,0.005553942,38,0.006375416
50270,35303,0.702267885,0,27.20088196,1640400.244,2.10E-07,46813.5,5000000,0.006729553,0.005334472,16,0.006575124
48825,34461,0.705806613,1.96E-08,27.20140076,1640400.244,2.10E-07,46813.5,5000000,0.006729553,0.005334472,16,0.006608256
49873,35812,0.71806401,3.92E-08,27.20271301,1640400.244,2.10E-07,46813.5,5000000,0.006729553,0.005334472,16,0.006723018
48694,34708,0.712777913,5.88E-08,27.20158386,1640400.244,2.10E-07,46813.5,5000000,0.006729553,0.005334472,16,0.006673526
49265,35102,0.712514102,7.83E-08,27.19895935,1640400.244,2.10E-07,46813.5,5000000,0.006729553,0.005334472,16,0.006671056
50220,34912,0.69518137,9.79E-08,27.19691467,1640400.244,2.10E-07,46813.5,5000000,0.006729553,0.005334472,16,0.006508775
49414,34292,0.693973482,1.18E-07,27.19767761,1640400.244,2.10E-07,46813.5,5000000,0.006729553,0.005334472,16,0.006497466
49615,33950,0.684269011,1.37E-07,27.20014954,1640400.244,2.10E-07,46813.5,5000000,0.006729553,0.005334472,16,0.006406605
48406,32121,0.663574874,1.76E-07,27.19984436,1640400.244,2.10E-07,46813.5,5000000,0.006729553,0.005334472,16,0.006212852
48319,31035,0.642294049,1.96E-07,27.20298767,1640400.244,2.10E-07,46813.5,5000000,0.006729553,0.005334472,16,0.006013606
48984,31463,0.642311931,2.15E-07,27.20506287,1640400.244,2.10E-07,46813.5,5000000,0.006729553,0.005334472,16,0.006013774
49874,30948,0.62052387,2.35E-07,27.20350647,1640400.244,2.10E-07,46813.5,5000000,0.006729553,0.005334472,16,0.005809779
49278,29067,0.589857638,2.94E-07,27.20680237,1640400.244,2.10E-07,46813.5,5000000,0.006729553,0.005334472,16,0.00552266
49338,28461,0.576857686,3.13E-07,27.20219421,1640400.244,2.10E-07,46813.5,5000000,0.006729553,0.005334472,16,0.005400945
48828,28109,0.575673938,3.92E-07,27.20307922,1640400.244,2.10E-07,46813.5,5000000,0.006729553,0.005334472,16,0.005389862
49808,29347,0.589202642,4.11E-07,27.20188904,1640400.244,2.10E-07,46813.5,5000000,0.006729553,0.005334472,16,0.005516528
49654,29775,0.599649668,4.31E-07,27.1999054,1640400.244,2.10E-07,46813.5,5000000,0.006729553,0.005334472,16,0.00561434
49746,30815,0.619446933,4.90E-07,27.20152283,1640400.244,2.10E-07,46813.5,5000000,0.006729553,0.005334472,16,0.005799696
49706,34008,0.684183121,5.88E-07,27.20045471,1640400.244,2.10E-07,46813.5,5000000,0.006729553,0.005334472,16,0.006405801
49445,34319,0.694084466,6.85E-07,27.1999054,1640400.244,2.10E-07,46813.5,5000000,0.006729553,0.005334472,16,0.006498505
49369,33353,0.675586045,7.83E-07,27.20109558,1640400.244,2.10E-07,46813.5,5000000,0.006729553,0.005334472,16,0.006325309
49572,32766,0.660978079,8.03E-07,27.19804382,1640400.244,2.10E-07,46813.5,5000000,0.006729553,0.005334472,16,0.006188539
49245,30734,0.624104083,8.81E-07,27.19837952,1640400.244,2.10E-07,46813.5,5000000,0.006729553,0.005334472,16,0.005843299
49294,29005,0.58840847,9.79E-07,27.19883728,1640400.244,2.10E-07,46813.5,5000000,0.006729553,0.005334472,16,0.005509092
49694,29941,0.602507472,1.08E-06,27.19407654,1640400.244,2.10E-07,46813.5,5000000,0.006729553,0.005334472,16,0.005641097
49529,31028,0.626461387,1.10E-06,27.19487,1640400.244,2.10E-07,46813.5,5000000,0.006729553,0.005334472,16,0.00586537
50462,33335,0.660596251,1.18E-06,27.19316101,1640400.244,2.10E-07,46813.5,5000000,0.006729553,0.005334472,16,0.006184965
48834,31043,0.635684311,1.49E-06,27.19749451,1640400.244,2.10E-07,46813.5,5000000,0.006729553,0.005334472,16,0.005951721
48540,32491,0.669365585,2.00E-06,27.19755554,1640400.244,2.10E-07,46813.5,5000000,0.006729553,0.005334472,16,0.006267069
50303,32397,0.644037247,2.72E-06,27.19810486,1640400.244,2.10E-07,46813.5,5000000,0.006729553,0.005334472,16,0.006029928
49523,31369,0.633422971,3.68E-06,27.20024109,1640400.244,2.10E-07,46813.5,5000000,0.006729553,0.005334472,16,0.005930549
49501,31761,0.641623557,4.99E-06,27.20063782,1640400.244,2.10E-07,46813.5,5000000,0.006729553,0.005334472,16,0.006007329
50660,32686,0.645203471,0,27.20051575,1894162.76,2.10E-07,49606.5,5000000,0.007177867,0.005578449,111,0.006401257
50720,32148,0.633832932,1.96E-08,27.20036316,1894162.76,2.10E-07,49606.5,5000000,0.007177867,0.005578449,111,0.006288447
51113,31341,0.613170922,3.92E-08,27.1999054,1894162.76,2.10E-07,49606.5,5000000,0.007177867,0.005578449,111,0.006083453
49774,30152,0.605778217,5.88E-08,27.19715881,1894162.76,2.10E-07,49606.5,5000000,0.007177867,0.005578449,111,0.006010107
52084,30575,0.587032616,7.83E-08,27.1985321,1894162.76,2.10E-07,49606.5,5000000,0.007177867,0.005578449,111,0.005824127
50717,29627,0.584163189,9.79E-08,27.1973114,1894162.76,2.10E-07,49606.5,5000000,0.007177867,0.005578449,111,0.005795658
51731,29946,0.578879297,1.18E-07,27.19798279,1894162.76,2.10E-07,49606.5,5000000,0.007177867,0.005578449,111,0.005743235
50772,29705,0.585066676,1.37E-07,27.19865417,1894162.76,2.10E-07,49606.5,5000000,0.007177867,0.005578449,111,0.005804622
51327,30035,0.585169733,1.76E-07,27.2000885,1894162.76,2.10E-07,49606.5,5000000,0.007177867,0.005578449,111,0.005805644
50974,30289,0.594205022,1.96E-07,27.20115662,1894162.76,2.10E-07,49606.5,5000000,0.007177867,0.005578449,111,0.005895286
51608,30743,0.59570235,2.15E-07,27.20384216,1894162.76,2.10E-07,49606.5,5000000,0.007177867,0.005578449,111,0.005910142
50826,31630,0.6223194,2.35E-07,27.20195007,1894162.76,2.10E-07,49606.5,5000000,0.007177867,0.005578449,111,0.006174217
50897,33509,0.658369005,2.94E-07,27.2013092,1894162.76,2.10E-07,49606.5,5000000,0.007177867,0.005578449,111,0.006531876
50583,34790,0.687780619,3.13E-07,27.20158386,1894162.76,2.10E-07,49606.5,5000000,0.007177867,0.005578449,111,0.006823678
50453,35547,0.704556882,3.92E-07,27.20079041,1894162.76,2.10E-07,49606.5,5000000,0.007177867,0.005578449,111,0.00699012
51710,36722,0.710152924,4.11E-07,27.20021057,1894162.76,2.10E-07,49606.5,5000000,0.007177867,0.005578449,111,0.00704564
50852,36097,0.70984441,4.31E-07,27.2035675,1894162.76,2.10E-07,49606.5,5000000,0.007177867,0.005578449,111,0.007042579
51261,34749,0.677883923,4.90E-07,27.20314026,1894162.76,2.10E-07,49606.5,5000000,0.007177867,0.005578449,111,0.00672549
51885,32274,0.622029603,5.88E-07,27.20246887,1894162.76,2.10E-07,49606.5,5000000,0.007177867,0.005578449,111,0.006171342
50568,29555,0.584460616,6.85E-07,27.20262146,1894162.76,2.10E-07,49606.5,5000000,0.007177867,0.005578449,111,0.005798609
51366,32529,0.633278966,7.83E-07,27.20002747,1894162.76,2.10E-07,49606.5,5000000,0.007177867,0.005578449,111,0.006282951
50974,32823,0.643916607,8.03E-07,27.19810486,1894162.76,2.10E-07,49606.5,5000000,0.007177867,0.005578449,111,0.00638849
51135,35248,0.689312756,8.81E-07,27.19883728,1894162.76,2.10E-07,49606.5,5000000,0.007177867,0.005578449,111,0.006838879
51297,35744,0.696805,9.79E-07,27.19773865,1894162.76,2.10E-07,49606.5,5000000,0.007177867,0.005578449,111,0.006913211
51992,34133,0.656504989,1.08E-06,27.19761658,1894162.76,2.10E-07,49606.5,5000000,0.007177867,0.005578449,111,0.006513383
51695,33612,0.6501984,1.10E-06,27.19630432,1894162.76,2.10E-07,49606.5,5000000,0.007177867,0.005578449,111,0.006450813
50426,31138,0.617499053,1.18E-06,27.19895935,1894162.76,2.10E-07,49606.5,5000000,0.007177867,0.005578449,111,0.006126393
51343,35182,0.685234725,1.49E-06,27.19758606,1894162.76,2.10E-07,49606.5,5000000,0.007177867,0.005578449,111,0.006798419
50817,34144,0.671901286,2.00E-06,27.19889832,1894162.76,2.10E-07,49606.5,5000000,0.007177867,0.005578449,111,0.006666134
